POS,STAT,DEFENSE,HA STATUS,OPP,OPP PLAYER,L10 AVG,L10 MED,STAT LINE,UNDER ODDS,OVER ODDS,LINE DIFF
PG,PTS,Rockets,@,Kings,De'Aaron Fox,31.1,29.0,25.5,-115,-105,-5.600000000000001
PF,PTS,Kings,vs,Rockets,Jabari Smith,13.1,10.0,11.5,-122,100,-1.5999999999999996
SF,PTS,Knicks,vs,Magic,Franz Wagner,26.4,29.0,25.5,-120,-102,-0.8999999999999986
SG,PTS,Bucks,@,Pistons,Jaden Ivey,18.3,19.0,17.5,-110,-110,-0.8000000000000007
SF,REB,Knicks,vs,Magic,Franz Wagner,6.1,6.0,5.5,-120,-102,-0.5999999999999996
C,REB,Warriors,@,Nuggets,Nikola Jokic,14.0,14.0,13.5,-138,112,-0.5
C,AST,Warriors,@,Nuggets,Nikola Jokic,11.0,10.0,10.5,-142,116,-0.5
PG,PTS,Wizards,@,Cavaliers,Darius Garland,21.0,20.0,20.5,-122,100,-0.5
PF,REB,Cavaliers,vs,Wizards,Alex Sarr,5.9,6.0,5.5,118,-144,-0.40000000000000036
SG,AST,76ers,@,Hornets,Brandon Miller,3.9,4.0,3.5,102,-124,-0.3999999999999999
PG,REB,Warriors,@,Nuggets,Jamal Murray,3.9,4.0,3.5,126,-154,-0.3999999999999999
SF,REB,Blazers,@,Clippers,Norman Powell,2.9,2.0,2.5,-128,100,-0.3999999999999999
C,REB,Rockets,@,Kings,Domantas Sabonis,12.8,12.0,12.5,104,-128,-0.3000000000000007
PF,PTS,Pacers,@,Raptors,Ochai Agbaji,9.8,9.0,9.5,-118,-104,-0.3000000000000007
PF,REB,Wizards,@,Cavaliers,Evan Mobley,10.8,11.0,10.5,-144,118,-0.3000000000000007
PG,AST,Jazz,@,Thunder,Shai Gilgeous-Alexander,6.8,8.0,6.5,-104,-118,-0.2999999999999998
PF,AST,Wizards,@,Cavaliers,Evan Mobley,2.7,2.0,2.5,120,-148,-0.20000000000000018
PG,PTS,Bucks,@,Pistons,Cade Cunningham,23.7,22.0,23.5,-114,-106,-0.1999999999999993
PF,AST,Raptors,vs,Pacers,Pascal Siakam,3.6,3.0,3.5,-110,-110,-0.10000000000000009
C,PTS,Wizards,@,Cavaliers,Jarrett Allen,14.5,16.0,14.5,-110,-110,0.0
C,PTS,Mavericks,vs,Grizzlies,Brandon Clarke,8.3,9.0,8.5,-124,102,0.1999999999999993
SF,REB,Thunder,vs,Jazz,Lauri Markkanen,6.3,5.0,6.5,-104,-118,0.20000000000000018
SG,AST,Nuggets,vs,Warriors,Brandin Podziemski,3.1,2.0,3.5,132,-162,0.3999999999999999
PG,AST,Nuggets,vs,Warriors,Stephen Curry,6.0,7.0,6.5,-138,112,0.5
PG,REB,Hornets,vs,76ers,Tyrese Maxey,3.0,3.0,3.5,112,-138,0.5
SG,REB,Rockets,@,Kings,Malik Monk,3.7,3.0,4.5,-138,112,0.7999999999999998
C,PTS,Jazz,@,Thunder,Isaiah Hartenstein,9.7,7.0,13.5,-122,100,3.8000000000000007
