SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22020,1629636,0022000010,"DEC 23, 2020",CLE vs. CHA,W,33,7,13,0.538,4,8,0.5,4,4,1.0,0,6,6,6,1,0,2,3,22,4,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22020,1629636,0022000023,"DEC 26, 2020",CLE @ DET,W,44,9,14,0.643,3,3,1.0,0,0,0.0,2,3,5,12,2,1,2,3,21,19,1,111.0,111.0,1.077,1.077,49.5,49.5,17.0,17.0,2.833,2.833,54.0,54.0,33.0,33.0
22020,1629636,0022000035,"DEC 27, 2020",CLE vs. PHI,W,29,7,15,0.467,0,3,0.0,0,0,0.0,0,0,0,7,2,0,2,2,14,21,1,98.0,98.0,0.943,0.943,43.8,43.8,11.5,11.5,1.769,1.769,50.0,50.0,31.5,31.5
22020,1629636,0022000046,"DEC 29, 2020",CLE vs. NYK,L,37,6,18,0.333,3,8,0.375,2,2,1.0,1,4,5,6,2,0,1,4,17,-5,1,113.3,113.3,1.094,1.094,52.5,52.5,18.3,18.3,2.500,2.500,68.0,68.0,26.0,26.0
22020,1629636,0022000062,"DEC 31, 2020",CLE @ IND,L,38,8,14,0.571,5,7,0.714,0,0,0.0,0,2,2,5,0,0,6,3,21,-21,1,109.0,109.7,1.033,1.050,47.9,48.8,12.5,13.0,1.316,1.300,53.5,53.3,34.5,34.0
22020,1629636,0022000083,"JAN 02, 2021",CLE @ ATL,W,34,3,14,0.214,0,3,0.0,2,3,0.667,0,2,2,2,1,1,5,4,8,7,1,115.4,120.3,1.087,1.152,49.7,52.4,12.2,11.0,1.794,1.737,58.0,62.0,36.0,39.0
22020,1629636,0022000232,"JAN 22, 2021",CLE vs. BKN,W,22,4,13,0.308,1,4,0.25,2,2,1.0,0,0,0,3,0,0,2,1,11,-4,1,115.8,128.3,1.079,1.150,49.3,51.9,13.1,13.7,1.522,1.281,61.0,67.3,38.6,45.0
22020,1629636,0022000250,"JAN 24, 2021",CLE @ BOS,L,23,1,9,0.111,0,6,0.0,2,2,1.0,0,2,2,5,0,1,2,1,4,-15,1,110.9,114.7,1.081,1.136,49.8,52.9,14.3,18.0,1.739,1.688,57.1,57.3,34.5,33.0
22020,1629636,0022000261,"JAN 25, 2021",CLE vs. LAL,L,26,5,10,0.5,0,0,0.0,1,1,1.0,1,1,2,5,0,0,2,2,11,-9,1,104.3,103.7,1.009,0.998,46.2,46.5,13.1,16.0,1.620,2.286,57.8,61.3,33.4,29.0
22020,1629636,0022000272,"JAN 27, 2021",CLE vs. DET,W,31,6,11,0.545,2,2,1.0,0,0,0.0,1,1,2,4,2,0,3,1,14,2,1,113.0,107.0,1.083,1.041,49.5,48.7,11.6,9.7,1.571,1.000,56.0,56.0,39.7,31.0
