SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MIN_ROLLING,FGM_ROLLING,FGA_ROLLING,FG_PCT_ROLLING,FG3M_ROLLING,FG3A_ROLLING,FG3_PCT_ROLLING,FTM_ROLLING,FTA_ROLLING,FT_PCT_ROLLING,OREB_ROLLING,DREB_ROLLING,REB_ROLLING,AST_ROLLING,STL_ROLLING,BLK_ROLLING,TOV_ROLLING,PF_ROLLING,PTS_ROLLING,PLUS_MINUS_ROLLING,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22023,1628378,0022300142,"NOV 05, 2023",CLE vs. GSW,W,34,11,19,0.579,5,11,0.455,4,4,1.0,1,1,2,7,2,0,4,3,31,6,1,"[36, 42, 29, 37, 37]","[11, 15, 11, 9, 13]","[21, 27, 20, 22, 21]","[0.524, 0.556, 0.55, 0.409, 0.619]","[4, 4, 0, 6, 4]","[10, 11, 3, 15, 7]","[0.4, 0.364, 0.0, 0.4, 0.571]","[1, 9, 4, 6, 8]","[1, 11, 4, 6, 10]","[1.0, 0.818, 1.0, 1.0, 0.8]","[2, 1, 2, 1, 1]","[3, 7, 1, 5, 4]","[5, 8, 3, 6, 5]","[6, 5, 3, 4, 9]","[4, 3, 3, 1, 1]","[1, 2, 0, 1, 0]","[0, 5, 2, 5, 3]","[1, 1, 2, 5, 1]","[27, 43, 26, 30, 38]","[7, 7, -11, 3, 0]",109.8,114.0,1.059,1.103,49.1,51.2,11.5,13.0,1.683,2.053,57.7,58.7,34.0,36.0
22023,1628378,0022300167,"NOV 08, 2023",CLE @ OKC,L,37,8,23,0.348,1,9,0.111,3,3,1.0,0,5,5,5,2,0,0,2,20,2,1,"[42, 29, 37, 37, 34]","[15, 11, 9, 13, 11]","[27, 20, 22, 21, 19]","[0.556, 0.55, 0.409, 0.619, 0.579]","[4, 0, 6, 4, 5]","[11, 3, 15, 7, 11]","[0.364, 0.0, 0.4, 0.571, 0.455]","[9, 4, 6, 8, 4]","[11, 4, 6, 10, 4]","[0.818, 1.0, 1.0, 0.8, 1.0]","[1, 2, 1, 1, 1]","[7, 1, 5, 4, 1]","[8, 3, 6, 5, 2]","[5, 3, 4, 9, 7]","[3, 3, 1, 1, 2]","[2, 0, 1, 0, 0]","[5, 2, 5, 3, 4]","[1, 2, 5, 1, 3]","[43, 26, 30, 38, 31]","[7, -11, 3, 0, 6]",116.7,122.7,1.106,1.141,50.4,52.0,14.1,15.0,1.678,1.8,57.4,54.7,40.7,45.0
22023,1628378,0022300176,"NOV 11, 2023",CLE @ GSW,W,36,7,22,0.318,2,6,0.333,5,6,0.833,1,6,7,5,2,1,2,4,21,15,1,"[29, 37, 37, 34, 37]","[11, 9, 13, 11, 8]","[20, 22, 21, 19, 23]","[0.55, 0.409, 0.619, 0.579, 0.348]","[0, 6, 4, 5, 1]","[3, 15, 7, 11, 9]","[0.0, 0.4, 0.571, 0.455, 0.111]","[4, 6, 8, 4, 3]","[4, 6, 10, 4, 3]","[1.0, 1.0, 0.8, 1.0, 1.0]","[2, 1, 1, 1, 0]","[1, 5, 4, 1, 5]","[3, 6, 5, 2, 5]","[3, 4, 9, 7, 5]","[3, 1, 1, 2, 2]","[0, 1, 0, 0, 0]","[2, 5, 3, 4, 0]","[2, 5, 1, 3, 2]","[26, 30, 38, 31, 20]","[-11, 3, 0, 6, 2]",110.1,110.7,1.075,1.106,49.6,50.8,13.8,18.3,1.938,2.391,57.3,56.7,34.3,35.0
22023,1628378,0022300191,"NOV 13, 2023",CLE @ SAC,L,38,7,21,0.333,4,9,0.444,4,4,1.0,0,2,2,5,1,1,2,0,22,-1,1,"[37, 37, 34, 37, 36]","[9, 13, 11, 8, 7]","[22, 21, 19, 23, 22]","[0.409, 0.619, 0.579, 0.348, 0.318]","[6, 4, 5, 1, 2]","[15, 7, 11, 9, 6]","[0.4, 0.571, 0.455, 0.111, 0.333]","[6, 8, 4, 3, 5]","[6, 10, 4, 3, 6]","[1.0, 0.8, 1.0, 1.0, 0.833]","[1, 1, 1, 0, 1]","[5, 4, 1, 5, 6]","[6, 5, 2, 5, 7]","[4, 9, 7, 5, 5]","[1, 1, 2, 2, 2]","[1, 0, 0, 0, 1]","[5, 3, 4, 0, 2]","[5, 1, 3, 2, 4]","[30, 38, 31, 20, 21]","[3, 0, 6, 2, 15]",113.8,112.7,1.083,1.089,50.1,51.1,11.9,11.3,1.583,1.259,61.3,64.0,34.5,30.0
22023,1628378,0022300199,"NOV 15, 2023",CLE @ POR,W,36,13,20,0.65,5,8,0.625,3,4,0.75,0,6,6,4,1,0,3,4,34,22,1,"[37, 34, 37, 36, 38]","[13, 11, 8, 7, 7]","[21, 19, 23, 22, 21]","[0.619, 0.579, 0.348, 0.318, 0.333]","[4, 5, 1, 2, 4]","[7, 11, 9, 6, 9]","[0.571, 0.455, 0.111, 0.333, 0.444]","[8, 4, 3, 5, 4]","[10, 4, 3, 6, 4]","[0.8, 1.0, 1.0, 0.833, 1.0]","[1, 1, 0, 1, 0]","[4, 1, 5, 6, 2]","[5, 2, 5, 7, 2]","[9, 7, 5, 5, 5]","[1, 2, 2, 2, 1]","[0, 0, 0, 1, 1]","[3, 4, 0, 2, 2]","[1, 3, 2, 4, 0]","[38, 31, 20, 21, 22]","[0, 6, 2, 15, -1]",112.0,117.3,1.075,1.11,50.2,52.7,17.8,17.7,1.835,1.767,63.4,65.3,30.6,28.0
22023,1628378,0022300242,"NOV 25, 2023",CLE vs. LAL,L,35,4,18,0.222,2,6,0.333,12,13,0.923,0,5,5,6,1,0,1,0,22,-2,1,"[34, 37, 36, 38, 36]","[11, 8, 7, 7, 13]","[19, 23, 22, 21, 20]","[0.579, 0.348, 0.318, 0.333, 0.65]","[5, 1, 2, 4, 5]","[11, 9, 6, 9, 8]","[0.455, 0.111, 0.333, 0.444, 0.625]","[4, 3, 5, 4, 3]","[4, 3, 6, 4, 4]","[1.0, 1.0, 0.833, 1.0, 0.75]","[1, 0, 1, 0, 0]","[1, 5, 6, 2, 6]","[2, 5, 7, 2, 6]","[7, 5, 5, 5, 4]","[2, 2, 2, 1, 1]","[0, 0, 1, 1, 0]","[4, 0, 2, 2, 3]","[3, 2, 4, 0, 4]","[31, 20, 21, 22, 34]","[6, 2, 15, -1, 22]",112.1,102.3,1.076,1.006,48.4,44.5,13.8,10.3,1.654,1.722,57.5,50.7,41.4,41.0
22023,1628378,0022300251,"NOV 26, 2023",CLE vs. TOR,W,34,4,17,0.235,0,5,0.0,2,3,0.667,1,4,5,4,1,0,0,0,10,1,1,"[37, 36, 38, 36, 35]","[8, 7, 7, 13, 4]","[23, 22, 21, 20, 18]","[0.348, 0.318, 0.333, 0.65, 0.222]","[1, 2, 4, 5, 2]","[9, 6, 9, 8, 6]","[0.111, 0.333, 0.444, 0.625, 0.333]","[3, 5, 4, 3, 12]","[3, 6, 4, 4, 13]","[1.0, 0.833, 1.0, 0.75, 0.923]","[0, 1, 0, 0, 0]","[5, 6, 2, 6, 5]","[5, 7, 2, 6, 5]","[5, 5, 5, 4, 6]","[2, 2, 1, 1, 1]","[0, 1, 1, 0, 0]","[0, 2, 2, 3, 1]","[2, 4, 0, 4, 0]","[20, 21, 22, 34, 22]","[2, 15, -1, 22, -2]",112.9,121.7,1.089,1.172,49.8,53.3,14.1,16.7,1.899,1.852,59.3,66.7,37.5,42.0
22023,1628378,0022300055,"NOV 28, 2023",CLE vs. ATL,W,35,14,25,0.56,3,11,0.273,9,9,1.0,2,9,11,5,3,1,6,3,40,29,1,"[36, 38, 36, 35, 34]","[7, 7, 13, 4, 4]","[22, 21, 20, 18, 17]","[0.318, 0.333, 0.65, 0.222, 0.235]","[2, 4, 5, 2, 0]","[6, 9, 8, 6, 5]","[0.333, 0.444, 0.625, 0.333, 0.0]","[5, 4, 3, 12, 2]","[6, 4, 4, 13, 3]","[0.833, 1.0, 0.75, 0.923, 0.667]","[1, 0, 0, 0, 1]","[6, 2, 6, 5, 4]","[7, 2, 6, 5, 5]","[5, 5, 4, 6, 4]","[2, 1, 1, 1, 1]","[1, 1, 0, 0, 0]","[2, 2, 3, 1, 0]","[4, 0, 4, 0, 0]","[21, 22, 34, 22, 10]","[15, -1, 22, -2, 1]",121.1,122.0,1.142,1.123,51.9,50.9,15.8,8.7,1.839,1.182,63.0,68.0,40.5,38.0
22023,1628378,0022300265,"NOV 30, 2023",CLE vs. POR,L,34,7,20,0.35,1,9,0.111,8,8,1.0,3,4,7,6,4,0,1,1,23,1,1,"[38, 36, 35, 34, 35]","[7, 13, 4, 4, 14]","[21, 20, 18, 17, 25]","[0.333, 0.65, 0.222, 0.235, 0.56]","[4, 5, 2, 0, 3]","[9, 8, 6, 5, 11]","[0.444, 0.625, 0.333, 0.0, 0.273]","[4, 3, 12, 2, 9]","[4, 4, 13, 3, 9]","[1.0, 0.75, 0.923, 0.667, 1.0]","[0, 0, 0, 1, 2]","[2, 6, 5, 4, 9]","[2, 6, 5, 5, 11]","[5, 4, 6, 4, 5]","[1, 1, 1, 1, 3]","[1, 0, 0, 0, 1]","[2, 3, 1, 0, 6]","[0, 4, 0, 0, 3]","[22, 34, 22, 10, 40]","[-1, 22, -2, 1, 29]",112.5,107.7,1.094,1.027,50.8,47.9,16.9,10.3,1.811,1.033,61.5,54.7,32.5,32.0
22023,1628378,0022300283,"DEC 02, 2023",CLE @ DET,W,33,7,19,0.368,2,5,0.4,4,5,0.8,1,2,3,4,2,0,4,2,20,-13,1,"[36, 35, 34, 35, 34]","[13, 4, 4, 14, 7]","[20, 18, 17, 25, 20]","[0.65, 0.222, 0.235, 0.56, 0.35]","[5, 2, 0, 3, 1]","[8, 6, 5, 11, 9]","[0.625, 0.333, 0.0, 0.273, 0.111]","[3, 12, 2, 9, 8]","[4, 13, 3, 9, 8]","[0.75, 0.923, 0.667, 1.0, 1.0]","[0, 0, 1, 2, 3]","[6, 5, 4, 9, 4]","[6, 5, 5, 11, 7]","[4, 6, 4, 5, 6]","[1, 1, 1, 3, 4]","[0, 0, 0, 1, 0]","[3, 1, 0, 6, 1]","[4, 0, 0, 3, 1]","[34, 22, 10, 40, 23]","[22, -2, 1, 29, 1]",118.5,125.7,1.142,1.176,53.1,54.3,14.4,16.7,1.593,2.174,62.1,62.0,33.3,38.0
