SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MIN_ROLLING,FGM_ROLLING,FGA_ROLLING,FG_PCT_ROLLING,FG3M_ROLLING,FG3A_ROLLING,FG3_PCT_ROLLING,FTM_ROLLING,FTA_ROLLING,FT_PCT_ROLLING,OREB_ROLLING,DREB_ROLLING,REB_ROLLING,AST_ROLLING,STL_ROLLING,BLK_ROLLING,TOV_ROLLING,PF_ROLLING,PTS_ROLLING,PLUS_MINUS_ROLLING,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22018,2544,0021800082,"OCT 27, 2018",LAL @ SAS,L,34,13,21,0.619,2,6,0.333,7,8,0.875,1,10,11,4,2,0,4,3,35,-1,1,"[37, 39, 43, 28, 35]","[9, 9, 11, 7, 10]","[16, 22, 25, 16, 17]","[0.563, 0.409, 0.44, 0.438, 0.588]","[0, 1, 2, 1, 1]","[4, 7, 8, 5, 5]","[0.0, 0.143, 0.25, 0.2, 0.2]","[8, 5, 8, 4, 7]","[9, 7, 11, 4, 10]","[0.889, 0.714, 0.727, 1.0, 0.7]","[2, 0, 2, 0, 0]","[10, 5, 6, 7, 11]","[12, 5, 8, 7, 11]","[6, 5, 14, 10, 11]","[1, 2, 1, 3, 3]","[0, 1, 1, 0, 0]","[6, 1, 5, 0, 2]","[3, 0, 2, 1, 3]","[26, 24, 32, 19, 28]","[-4, -13, -5, 19, 13]",121.8,126.3,1.186,1.221,54.0,54.7,20.5,22.0,2.929,3.474,66.5,66.7,39.0,46.0
22018,2544,0021800093,"OCT 29, 2018",LAL @ MIN,L,36,11,23,0.478,3,6,0.5,4,5,0.8,3,7,10,8,2,2,5,2,29,-6,1,"[39, 43, 28, 35, 34]","[9, 11, 7, 10, 13]","[22, 25, 16, 17, 21]","[0.409, 0.44, 0.438, 0.588, 0.619]","[1, 2, 1, 1, 2]","[7, 8, 5, 5, 6]","[0.143, 0.25, 0.2, 0.2, 0.333]","[5, 8, 4, 7, 7]","[7, 11, 4, 10, 8]","[0.714, 0.727, 1.0, 0.7, 0.875]","[0, 2, 0, 0, 1]","[5, 6, 7, 11, 10]","[5, 8, 7, 11, 11]","[5, 14, 10, 11, 4]","[2, 1, 3, 3, 2]","[1, 1, 0, 0, 0]","[1, 5, 0, 2, 4]","[0, 2, 1, 3, 3]","[24, 32, 19, 28, 35]","[-13, -5, 19, 13, -1]",117.2,109.3,1.102,1.041,50.7,47.0,15.0,15.0,2.571,2.368,63.7,62.0,37.0,38.0
22018,2544,0021800109,"OCT 31, 2018",LAL vs. DAL,W,39,11,19,0.579,2,3,0.667,5,7,0.714,0,5,5,6,3,0,3,3,29,5,1,"[43, 28, 35, 34, 36]","[11, 7, 10, 13, 11]","[25, 16, 17, 21, 23]","[0.44, 0.438, 0.588, 0.619, 0.478]","[2, 1, 1, 2, 3]","[8, 5, 5, 6, 6]","[0.25, 0.2, 0.2, 0.333, 0.5]","[8, 4, 7, 7, 4]","[11, 4, 10, 8, 5]","[0.727, 1.0, 0.7, 0.875, 0.8]","[2, 0, 0, 1, 3]","[6, 7, 11, 10, 7]","[8, 7, 11, 11, 10]","[14, 10, 11, 4, 8]","[1, 3, 3, 2, 2]","[1, 0, 0, 0, 2]","[5, 0, 2, 4, 5]","[2, 1, 3, 3, 2]","[32, 19, 28, 35, 29]","[-5, 19, 13, -1, -6]",117.0,114.0,1.098,1.067,50.0,49.1,17.9,16.0,2.016,1.371,58.0,65.3,39.0,30.0
22018,2544,0021800132,"NOV 03, 2018",LAL @ POR,W,31,9,20,0.45,1,5,0.2,9,11,0.818,0,5,5,7,0,2,3,1,28,-22,1,"[28, 35, 34, 36, 39]","[7, 10, 13, 11, 11]","[16, 17, 21, 23, 19]","[0.438, 0.588, 0.619, 0.478, 0.579]","[1, 1, 2, 3, 2]","[5, 5, 6, 6, 3]","[0.2, 0.2, 0.333, 0.5, 0.667]","[4, 7, 7, 4, 5]","[4, 10, 8, 5, 7]","[1.0, 0.7, 0.875, 0.8, 0.714]","[0, 0, 1, 3, 0]","[7, 11, 10, 7, 5]","[7, 11, 11, 10, 5]","[10, 11, 4, 8, 6]","[3, 3, 2, 2, 3]","[0, 0, 0, 2, 0]","[0, 2, 4, 5, 3]","[1, 3, 3, 2, 3]","[19, 28, 35, 29, 29]","[19, 13, -1, -6, 5]",110.4,99.0,1.043,0.961,48.8,46.2,14.5,11.0,2.109,1.5,60.5,56.0,32.3,24.0
22018,2544,0021800139,"NOV 04, 2018",LAL vs. TOR,L,28,6,12,0.5,2,3,0.667,4,7,0.571,0,2,2,6,0,1,3,3,18,-16,1,"[35, 34, 36, 39, 31]","[10, 13, 11, 11, 9]","[17, 21, 23, 19, 20]","[0.588, 0.619, 0.478, 0.579, 0.45]","[1, 2, 3, 2, 1]","[5, 6, 6, 3, 5]","[0.2, 0.333, 0.5, 0.667, 0.2]","[7, 7, 4, 5, 9]","[10, 8, 5, 7, 11]","[0.7, 0.875, 0.8, 0.714, 0.818]","[0, 1, 3, 0, 0]","[11, 10, 7, 5, 5]","[11, 11, 10, 5, 5]","[11, 4, 8, 6, 7]","[3, 2, 2, 3, 0]","[0, 0, 2, 0, 2]","[2, 4, 5, 3, 3]","[3, 3, 2, 3, 1]","[28, 35, 29, 29, 28]","[13, -1, -6, 5, -22]",107.8,111.3,1.022,1.032,46.8,47.0,15.9,13.7,2.6,2.733,53.8,54.7,37.0,41.0
22018,2544,0021800162,"NOV 07, 2018",LAL vs. MIN,W,39,10,21,0.476,3,9,0.333,1,2,0.5,1,10,11,9,0,2,3,1,24,3,1,"[34, 36, 39, 31, 28]","[13, 11, 11, 9, 6]","[21, 23, 19, 20, 12]","[0.619, 0.478, 0.579, 0.45, 0.5]","[2, 3, 2, 1, 2]","[6, 6, 3, 5, 3]","[0.333, 0.5, 0.667, 0.2, 0.667]","[7, 4, 5, 9, 4]","[8, 5, 7, 11, 7]","[0.875, 0.8, 0.714, 0.818, 0.571]","[1, 3, 0, 0, 0]","[10, 7, 5, 5, 2]","[11, 10, 5, 5, 2]","[4, 8, 6, 7, 6]","[2, 2, 3, 0, 0]","[0, 2, 0, 2, 1]","[4, 5, 3, 3, 3]","[3, 2, 3, 1, 3]","[35, 29, 29, 28, 18]","[-1, -6, 5, -22, -16]",117.7,115.7,1.118,1.14,51.6,52.3,14.0,13.7,2.299,2.733,64.0,60.0,36.3,34.0
22018,2544,0021800183,"NOV 10, 2018",LAL @ SAC,W,31,10,18,0.556,3,6,0.5,2,3,0.667,1,6,7,2,1,0,3,2,25,2,1,"[36, 39, 31, 28, 39]","[11, 11, 9, 6, 10]","[23, 19, 20, 12, 21]","[0.478, 0.579, 0.45, 0.5, 0.476]","[3, 2, 1, 2, 3]","[6, 3, 5, 3, 9]","[0.5, 0.667, 0.2, 0.667, 0.333]","[4, 5, 9, 4, 1]","[5, 7, 11, 7, 2]","[0.8, 0.714, 0.818, 0.571, 0.5]","[3, 0, 0, 0, 1]","[7, 5, 5, 2, 10]","[10, 5, 5, 2, 11]","[8, 6, 7, 6, 9]","[2, 3, 0, 0, 0]","[2, 0, 2, 1, 2]","[5, 3, 3, 3, 3]","[2, 3, 1, 3, 1]","[29, 29, 28, 18, 24]","[-6, 5, -22, -16, 3]",118.1,122.7,1.074,1.113,50.0,50.4,16.8,19.0,2.04,2.591,61.2,57.3,36.3,40.0
22018,2544,0021800189,"NOV 11, 2018",LAL vs. ATL,W,34,10,20,0.5,3,9,0.333,3,7,0.429,3,4,7,4,2,0,4,1,26,22,1,"[39, 31, 28, 39, 31]","[11, 9, 6, 10, 10]","[19, 20, 12, 21, 18]","[0.579, 0.45, 0.5, 0.476, 0.556]","[2, 1, 2, 3, 3]","[3, 5, 3, 9, 6]","[0.667, 0.2, 0.667, 0.333, 0.5]","[5, 9, 4, 1, 2]","[7, 11, 7, 2, 3]","[0.714, 0.818, 0.571, 0.5, 0.667]","[0, 0, 0, 1, 1]","[5, 5, 2, 10, 6]","[5, 5, 2, 11, 7]","[6, 7, 6, 9, 2]","[3, 0, 0, 0, 1]","[0, 2, 1, 2, 0]","[3, 3, 3, 3, 3]","[3, 1, 3, 1, 2]","[29, 28, 18, 24, 25]","[5, -22, -16, 3, 2]",119.3,116.3,1.086,1.077,50.1,49.4,17.7,13.7,1.86,1.519,59.0,54.0,40.0,44.0
22018,2544,0021800212,"NOV 14, 2018",LAL vs. POR,W,36,13,19,0.684,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,0,44,4,1,"[31, 28, 39, 31, 34]","[9, 6, 10, 10, 10]","[20, 12, 21, 18, 20]","[0.45, 0.5, 0.476, 0.556, 0.5]","[1, 2, 3, 3, 3]","[5, 3, 9, 6, 9]","[0.2, 0.667, 0.333, 0.5, 0.333]","[9, 4, 1, 2, 3]","[11, 7, 2, 3, 7]","[0.818, 0.571, 0.5, 0.667, 0.429]","[0, 0, 1, 1, 3]","[5, 2, 10, 6, 4]","[5, 2, 11, 7, 7]","[7, 6, 9, 2, 4]","[0, 0, 0, 1, 2]","[2, 1, 2, 0, 0]","[3, 3, 3, 3, 4]","[1, 3, 1, 2, 1]","[28, 18, 24, 25, 26]","[-22, -16, 3, 2, 22]",106.2,100.7,1.019,1.024,47.4,45.5,14.1,12.0,2.08,2.4,58.5,52.7,32.1,38.0
22018,2544,0021800227,"NOV 17, 2018",LAL @ ORL,L,26,8,19,0.421,3,6,0.5,3,4,0.75,0,4,4,7,0,1,3,0,22,-11,1,"[28, 39, 31, 34, 36]","[6, 10, 10, 10, 13]","[12, 21, 18, 20, 19]","[0.5, 0.476, 0.556, 0.5, 0.684]","[2, 3, 3, 3, 5]","[3, 9, 6, 9, 6]","[0.667, 0.333, 0.5, 0.333, 0.833]","[4, 1, 2, 3, 13]","[7, 2, 3, 7, 15]","[0.571, 0.5, 0.667, 0.429, 0.867]","[0, 1, 1, 3, 2]","[2, 10, 6, 4, 8]","[2, 11, 7, 7, 10]","[6, 9, 2, 4, 9]","[0, 0, 1, 2, 1]","[1, 2, 0, 0, 3]","[3, 3, 3, 4, 4]","[3, 1, 2, 1, 0]","[18, 24, 25, 26, 44]","[-16, 3, 2, 22, 4]",108.5,104.0,1.06,1.03,48.8,48.2,12.1,9.7,1.916,2.071,57.9,53.3,34.0,32.0
