SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3,OPP DEF EFF,OPP DEF EFF L3,OPP F%,OPP F% L3,OPP FB PTS,OPP FB PTS L3,OPP FB EFF,OPP FB EFF L3,OPP 2PTS,OPP 2PTS L3,OPP 3PTS,OPP 3PTS L3
22024,2544,0022400062,"OCT 22, 2024",LAL vs. MIN,W,35,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,-6,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22024,2544,0022400085,"OCT 25, 2024",LAL vs. PHX,W,35,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,14,1,113.0,113.0,0.994,0.994,48.3,48.3,16.0,16.0,1.778,1.778,68.0,68.0,24.0,24.0
22024,2544,0022400096,"OCT 26, 2024",LAL vs. SAC,W,34,12,22,0.545,4,9,0.444,4,4,1.0,0,14,14,10,0,1,5,3,32,13,1,117.0,117.0,1.121,1.121,46.9,46.9,4.0,4.0,1.333,1.333,42.0,42.0,60.0,60.0
22024,2544,0022400111,"OCT 28, 2024",LAL @ PHX,L,36,3,14,0.214,2,5,0.4,3,6,0.5,0,5,5,8,1,0,2,1,11,-17,1,112.7,112.7,1.073,1.073,50.0,50.0,16.0,16.0,1.920,1.920,56.0,56.0,35.0,35.0
22024,2544,0022400118,"OCT 30, 2024",LAL @ CLE,L,29,9,13,0.692,1,3,0.333,7,7,1.0,1,5,6,3,0,0,6,2,26,-17,1,106.8,107.0,1.027,1.032,46.8,46.8,12.3,12.0,1.960,2.118,51.0,52.0,36.8,37.0
22024,2544,0022400137,"NOV 01, 2024",LAL @ TOR,W,36,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,11,1,124.0,125.7,1.161,1.169,53.8,53.3,15.2,17.7,1.689,2.208,59.6,61.3,39.6,43.0
22024,2544,0022400156,"NOV 04, 2024",LAL @ DET,L,40,7,16,0.438,1,2,0.5,5,5,1.0,1,7,8,11,2,0,1,1,20,-16,1,110.4,105.0,1.104,1.072,50.2,49.7,14.4,16.0,1.278,1.500,52.3,54.7,40.3,35.0
22024,2544,0022400174,"NOV 06, 2024",LAL @ MEM,L,35,15,24,0.625,6,11,0.545,3,4,0.75,0,7,7,6,1,0,5,2,39,-21,1,115.0,104.0,1.087,1.016,48.9,45.8,14.5,18.0,1.657,1.929,49.5,50.7,46.9,41.0
22024,2544,0022400195,"NOV 08, 2024",LAL vs. PHI,W,34,9,14,0.643,2,4,0.5,1,1,1.0,0,12,12,13,0,3,2,0,21,12,1,115.7,117.3,1.138,1.188,52.6,54.5,16.1,18.0,2.093,2.000,56.9,64.0,36.4,35.0
22024,2544,0022400211,"NOV 10, 2024",LAL vs. TOR,W,35,6,14,0.429,0,3,0.0,7,7,1.0,2,8,10,16,1,0,3,0,19,13,1,122.7,116.0,1.149,1.130,53.7,53.4,16.1,17.3,1.809,2.364,60.8,58.7,35.1,30.0
22024,2544,0022400225,"NOV 13, 2024",LAL vs. MEM,W,37,13,22,0.591,4,7,0.571,5,8,0.625,1,11,12,14,1,0,6,2,35,3,1,111.5,102.3,1.038,0.916,47.1,42.6,15.5,18.0,1.650,1.636,51.5,56.7,41.7,28.0
22024,2544,0022400015,"NOV 15, 2024",LAL @ SAS,W,38,6,12,0.5,1,4,0.25,2,4,0.5,1,15,16,12,1,0,7,0,15,3,1,109.2,112.3,1.094,1.071,49.4,48.7,15.5,13.3,1.738,1.379,55.2,58.7,39.5,38.0
22024,2544,0022400231,"NOV 16, 2024",LAL @ NOP,W,37,8,19,0.421,2,7,0.286,3,5,0.6,4,3,7,5,1,0,6,1,21,1,1,114.0,102.3,1.134,1.066,50.9,46.3,19.2,18.7,2.306,1.867,58.3,45.3,41.8,44.0
22024,2544,0022400026,"NOV 19, 2024",LAL vs. UTA,W,34,9,17,0.529,1,5,0.2,7,11,0.636,0,2,2,12,0,0,4,1,26,-5,1,118.5,116.7,1.168,1.179,52.6,53.4,16.8,14.0,1.639,1.500,58.6,59.3,43.8,42.0
22024,2544,0022400263,"NOV 21, 2024",LAL vs. ORL,L,37,12,22,0.545,5,9,0.556,2,4,0.5,2,8,10,7,0,1,4,0,31,-8,1,102.3,96.3,1.016,1.018,46.4,46.6,13.0,14.7,1.677,1.760,50.0,46.0,35.4,33.0
