NAME,DATE,TM,H/A Status,OPP,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,+/-,L5 PTS AVG,L5 REB AVG,L5 AST AVG,AVG D PTS ALLOWED,AVG D PTS ALLOWED L3
LeBron James,3/3/2017,Cleveland,@,Atlanta,39,38,13,8,0,0,14,27,51.9,6,10,60.0,4,8,50.0,62.3,1,12,2,4,5,25.0,8.2,10.2,104.1,99.3
LeBron James,3/6/2017,Cleveland,vs,Miami,39,30,17,6,1,1,11,22,50.0,2,5,40.0,6,10,60.0,56.8,3,14,3,2,14,25.2,9.8,9.8,101.9,100.0
LeBron James,3/9/2017,Cleveland,@,Detroit,39,29,14,10,1,0,12,22,54.5,0,6,0.0,5,8,62.5,56.8,4,10,3,1,18,27.8,10.8,8.6,102.3,105.3
LeBron James,3/11/2017,Cleveland,@,Orlando,38,24,12,12,0,1,8,14,57.1,2,5,40.0,6,10,60.0,65.2,0,12,4,3,12,27.6,13.2,9.0,105.9,108.3
LeBron James,3/12/2017,Cleveland,@,Houston,40,30,7,5,2,0,12,20,60.0,4,11,36.4,2,3,66.7,70.4,0,7,8,2,-9,29.8,13.4,8.0,108.2,107.0
LeBron James,3/14/2017,Cleveland,vs,Detroit,28,16,11,12,0,0,6,12,50.0,0,2,0.0,4,5,80.0,56.3,0,11,2,0,22,29.8,13.8,9.2,102.1,102.7
LeBron James,3/16/2017,Cleveland,vs,Utah,38,33,10,6,2,1,13,20,65.0,2,5,40.0,5,10,50.0,67.6,0,10,6,0,14,30.2,12.6,8.2,96.4,101.0
LeBron James,3/19/2017,Cleveland,@,LA Lakers,38,34,6,7,1,0,13,22,59.1,3,8,37.5,5,8,62.5,66.6,0,6,3,2,12,25.8,12.2,9.0,111.7,125.0
LeBron James,3/22/2017,Cleveland,@,Denver,34,18,6,5,0,0,8,12,66.7,0,2,0.0,2,4,50.0,65.4,2,4,4,1,-30,26.4,10.8,9.0,111.0,116.0
LeBron James,3/24/2017,Cleveland,@,Charlotte,40,32,9,11,1,2,9,14,64.3,0,1,0.0,14,16,87.5,76.0,0,9,4,2,1,27.4,9.2,8.4,104.0,95.0
LeBron James,3/25/2017,Cleveland,vs,Washington,41,24,11,8,0,1,10,21,47.6,0,4,0.0,4,6,66.7,50.8,3,8,3,2,-11,26.2,8.0,7.0,106.7,106.0
LeBron James,3/27/2017,Cleveland,@,San Antonio,30,17,8,8,0,0,7,17,41.2,0,3,0.0,3,6,50.0,43.3,3,5,2,3,-13,26.6,8.4,8.2,98.4,93.7
LeBron James,3/30/2017,Cleveland,@,Chicago,39,26,10,8,1,1,11,20,55.0,1,7,14.3,3,7,42.9,56.3,1,9,4,0,-3,28.2,8.4,7.4,103.4,102.0
LeBron James,3/31/2017,Cleveland,vs,Philadelphia,30,34,9,6,0,0,14,22,63.6,3,7,42.9,3,6,50.0,69.0,2,7,2,2,31,25.0,8.0,7.8,107.5,102.3
LeBron James,4/2/2017,Cleveland,vs,Indiana,52,41,14,11,2,1,16,29,55.2,3,10,30.0,6,12,50.0,59.8,4,10,1,4,-1,23.4,8.8,8.0,105.4,112.0
LeBron James,4/4/2017,Cleveland,vs,Orlando,37,18,11,11,2,1,7,14,50.0,0,3,0.0,4,6,66.7,54.1,1,10,6,2,17,26.6,9.4,8.2,107.0,117.3
LeBron James,4/5/2017,Cleveland,@,Boston,39,36,10,6,1,2,14,22,63.6,1,4,25.0,7,7,100.0,71.8,2,8,3,3,32,28.4,10.4,8.2,105.1,104.3
